Platform,Category,UserRecordType,Title,Country,ReleaseType,Publisher,Developer,Genre,CreatedAt,Ownership,PriceLoose,PriceCIB,PriceNew,YourPrice,PricePaid,ItemCondition,BoxCondition,ManualCondition,Notes,Tags,metacritic
"NES/Famicom","Games","Owned","Rad Racer","United States of America","Official","Nintendo of America, Inc.","Squaresoft","Racing","Jun 16, 2024","CIB","9.24","52.35","362.77","52.35","-1.0","?","?","?","","","0"
"NES/Famicom","Games","Owned","Rambo","United States of America","Official","Acclaim Entertainment, Inc.","Pack-In-Video Co., Ltd","Platformer","Mar 1, 2020","CIB","9.80","70.36","400.00","70.36","10.00","?","?","?","","","0"
"NES/Famicom","Games","Owned","Rampage","United States of America","Official","Data East Corporation","Data East Corporation","Action","Mar 1, 2020","Loose","18.73","112.87","957.44","18.73","-1.0","?","?","?","","","0"
"NES/Famicom","Games","Owned","River City Ransom","United States of America","Official","American Technos, Inc.","Technos Japan Corp.","Action, RPG, Fighting","Jun 25, 2023","Loose+","46.48","150.00","506.80","72.97","-1.0","?","?","?","","","0"
"NES/Famicom","Games","Owned","Road Runner","United States of America","Unlicensed","Tengen","Beam Software","Action","Jan 20, 2022","Loose","13.72","46.69","263.64","13.72","-1.0","?","?","?","","","0"
"NES/Famicom","Games","Owned","Rygar","United States of America","Official","Tecmo","Tecmo","Action, Adventure, Platformer","Mar 1, 2020","Loose","14.71","52.49","210.00","14.71","-1.0","?","?","?","","","0"
"NES/Famicom","Games","Owned","Section-Z","United States of America","Official","Capcom","Capcom","Shoot 'em up","Jan 2, 2021","Loose","10.07","70.41","327.76","10.07","-1.0","?","?","?","","","0"
"NES/Famicom","Games","Owned","Sesame Street 1 2 3","United States of America","Official","Hi Tech Entertainment","Rare, Ltd.","Puzzle","Jan 4, 2022","Loose","4.30","22.40","85.21","4.30","-1.0","?","?","?","","","0"
"NES/Famicom","Games","Owned","Shadowgate","United States of America","Official","Kemco","ICOM Simulations, Inc.","Adventure","Jan 4, 2022","Loose","13.50","50.14","224.99","13.50","-1.0","?","?","?","","","0"
"NES/Famicom","Games","Owned","Skate or Die","United States of America","Official","Ultra Games","Konami","Sports","Mar 1, 2020","Loose","9.57","41.22","291.20","9.57","-1.0","?","?","?","","","0"
"NES/Famicom","Games","Owned","Skate or Die 2: The Search for Double Trouble","United States of America","Official","Electronic Arts","Konami","Sports","Jan 31, 2021","CIB","10.15","54.88","220.00","54.88","12.50","?","?","?","","","0"
"NES/Famicom","Games","Owned","Slalom","United States of America","Official","Nintendo","Rare, Ltd.","Sports","Jan 20, 2022","Loose","10.46","110.17","113.00","10.46","-1.0","?","?","?","","","0"
"NES/Famicom","Games","Owned","Snake Rattle n Roll","United States of America","Official","Nintendo","Rare, Ltd.","Action, Platformer","Jan 4, 2022","Loose","11.43","39.89","181.12","11.43","-1.0","?","?","?","","","0"
"NES/Famicom","Games","Owned","Spot: The Video Game","United States of America","Official","Arcadia Systems, Inc.","Arcadia Systems, Inc.","Puzzle","Jan 4, 2022","Loose","10.49","57.62","219.15","10.49","-1.0","?","?","?","","","0"
"NES/Famicom","Games","Owned","Spy Hunter","United States of America","Official","SUNSOFT","Sunsoft","Action, Racing","Jun 15, 2020","Loose","10.00","37.89","175.52","10.00","-1.0","?","?","?","","","0"
"NES/Famicom","Games","Owned","Spy vs. Spy","United States of America","Official","Kemco","First Star Software Inc","Action, Strategy","Jan 2, 2021","Loose","12.93","62.74","451.42","12.93","-1.0","?","?","?","","","0"
"NES/Famicom","Games","Owned","Super Glove Ball","United States of America","Official","Mattel Electronics","Rare, Ltd.","Action","Jan 4, 2022","Loose","8.02","37.28","94.90","8.02","-1.0","?","?","?","","","0"
"NES/Famicom","Games","Owned","Super Mario Bros.","United States of America","Official","Nintendo of America, Inc.","Nintendo R&D4","Platformer","Mar 1, 2020","Loose+","18.42","265.45","5486.32","42.92","-1.0","?","?","?","","","0"
"NES/Famicom","Games","Owned","Super Mario Bros.","United States of America","Official","Nintendo of America, Inc.","Nintendo R&D4","Platformer","Jan 24, 2025","CIB","18.42","265.45","5486.32","265.45","-1.0","1","1","1","","","0"
"NES/Famicom","Games","Owned","Super Mario Bros. - Duck Hunt - World Class Track Meet","United States of America","Official","Nintendo","Nintendo","First-person shooter, Sports, Platformer","Jan 4, 2022","Loose","6.91","23.75","95.00","6.91","-1.0","?","?","?","","","0"
"NES/Famicom","Games","Owned","Super Mario Bros. / Duck Hunt","United States of America","Official","Nintendo","Nintendo","Adventure, First-person shooter","Mar 1, 2020","Loose","6.22","39.71","237.49","6.22","-1.0","?","?","?","","","0"
"NES/Famicom","Games","Owned","Super Mario Bros. / Duck Hunt","United States of America","Official","Nintendo","Nintendo","Adventure, First-person shooter","Jan 4, 2022","Loose","6.22","39.71","237.49","6.22","-1.0","?","?","?","","","0"
"NES/Famicom","Games","Owned","Super Mario Bros. / Duck Hunt","United States of America","Official","Nintendo","Nintendo","Adventure, First-person shooter","Jan 4, 2022","Loose","6.22","39.71","237.49","6.22","-1.0","?","?","?","","","0"
"NES/Famicom","Games","Owned","Super Mario Bros. 2","United States of America","Official","Nintendo of America, Inc.","Nintendo R&D4","Platformer","Mar 1, 2020","CIB","21.01","69.78","2496.42","69.78","26.00","?","?","?","","","0"
"NES/Famicom","Games","Owned","Super Mario Bros. 3","United States of America","Official","Nintendo of America, Inc.","Nintendo R&D4","Platformer","Jun 15, 2020","CIB","16.91","69.84","714.14","69.84","42.50","?","?","?","","","0"
"NES/Famicom","Games","Owned","Tecmo Bowl","United States of America","Official","Tecmo","Tecmo","Sports","Mar 1, 2020","Loose","11.38","39.86","585.00","11.38","-1.0","?","?","?","","","0"
"NES/Famicom","Games","Owned","Teenage Mutant Ninja Turtles","United States of America","Official","Ultra Games","Konami","Action, Adventure, Platformer","Jan 7, 2021","CIB","11.31","62.70","750.79","62.70","44.50","1","?","?","","","0"
"NES/Famicom","Games","Owned","Teenage Mutant Ninja Turtles","United States of America","Official","Ultra Games","Konami","Action, Adventure, Platformer","Jan 4, 2022","Loose","11.31","62.70","750.79","11.31","-1.0","?","?","?","","","0"
"NES/Famicom","Games","Owned","Teenage Mutant Ninja Turtles II: The Arcade Game","United States of America","Official","Ultra Games","Konami","Action, Fighting","Jan 2, 2021","Loose","13.58","109.38","789.23","13.58","-1.0","?","?","?","","","0"
"NES/Famicom","Games","Owned","Teenage Mutant Ninja Turtles III: The Manhattan Project","United States of America","Official","Konami","Konami","Action, Fighting","Oct 25, 2020","Loose","33.49","206.99","729.00","33.49","-1.0","?","?","?","","","0"
"NES/Famicom","Games","Owned","Tennis","United States of America","Official","Nintendo","Nintendo EAD, Intelligent Systems","Sports","Jan 20, 2022","Loose","10.52","80.63","515.65","10.52","-1.0","?","?","?","","","0"
"NES/Famicom","Games","Owned","Tetris 2","United States of America","Official","Nintendo of America, Inc.","Tose Co., Ltd.","Puzzle","Jan 4, 2022","Loose","6.86","24.25","138.00","6.86","-1.0","?","?","?","","","0"
"NES/Famicom","Games","Owned","Adventures of Bayou Billy","United States of America","Official","Konami","Konami","Action, Racing, First-person shooter","Nov 22, 2021","CIB","7.85","41.58","168.71","41.58","-1.0","?","?","?","","","0"
"NES/Famicom","Games","Owned","Adventures of Bayou Billy","United States of America","Official","Konami","Konami","Action, Racing, First-person shooter","Jan 20, 2022","Loose","7.85","41.58","168.71","7.85","-1.0","?","?","?","","","0"
"NES/Famicom","Games","Owned","Bard's Tale","United States of America","Official","Electronic Arts","Interplay Entertainment Corp.","RPG","Jan 20, 2022","Loose","26.49","63.57","264.29","26.49","-1.0","?","?","?","","","0"
"NES/Famicom","Games","Owned","Black Bass","United States of America","Official","Hot-B Co., Ltd.","Another","Sports","Jan 2, 2021","CIB","10.09","28.45","62.74","28.45","-1.0","?","?","?","","","0"
